outer_step,lam,inner_lr,inner_steps,outer_loss,pre/loss_train,pre/loss_related,post/loss_train,post/loss_related,base/loss_train,base/loss_related
0,0.5,0.0005,5,1.2251836061477661,3.7288291454315186,3.9849700927734375,3.6807472705841064,3.9355902671813965,3.732790231704712,3.9894864559173584
10,0.5,0.0005,5,1.639685034751892,3.59920334815979,3.871384382247925,3.534571886062622,3.8038270473480225,3.732790231704712,3.9894864559173584
20,0.5,0.0005,5,1.8033355474472046,3.406229257583618,3.7042102813720703,3.3422067165374756,3.6311569213867188,3.732790231704712,3.9894864559173584
30,0.5,0.0005,5,1.1020309925079346,3.2225589752197266,3.5402917861938477,3.149848222732544,3.464700937271118,3.732790231704712,3.9894864559173584
40,0.5,0.0005,5,1.0203430652618408,3.0537192821502686,3.3926005363464355,2.9848921298980713,3.3143808841705322,3.732790231704712,3.9894864559173584
50,0.5,0.0005,5,1.5817242860794067,2.894251823425293,3.249067544937134,2.8345606327056885,3.1772096157073975,3.732790231704712,3.9894864559173584
60,0.5,0.0005,5,1.1850581169128418,2.7265233993530273,3.0815436840057373,2.6686058044433594,3.0169994831085205,3.732790231704712,3.9894864559173584
70,0.5,0.0005,5,1.449998378753662,2.5509958267211914,2.914041757583618,2.4871459007263184,2.8378231525421143,3.732790231704712,3.9894864559173584
80,0.5,0.0005,5,1.096923589706421,2.378159523010254,2.7399704456329346,2.3194661140441895,2.6715075969696045,3.732790231704712,3.9894864559173584
90,0.5,0.0005,5,0.7440040111541748,2.2077503204345703,2.5650737285614014,2.149846076965332,2.499317169189453,3.732790231704712,3.9894864559173584
100,0.5,0.0005,5,1.2417871952056885,2.0591979026794434,2.4285895824432373,2.002963066101074,2.3609743118286133,3.732790231704712,3.9894864559173584
110,0.5,0.0005,5,0.5887309312820435,1.9182422161102295,2.3082950115203857,1.863374948501587,2.240739345550537,3.732790231704712,3.9894864559173584
120,0.5,0.0005,5,0.7859195470809937,1.7699295282363892,2.1692137718200684,1.711966633796692,2.100649833679199,3.732790231704712,3.9894864559173584
130,0.5,0.0005,5,0.950056791305542,1.6222026348114014,2.0303149223327637,1.5669586658477783,1.9611533880233765,3.732790231704712,3.9894864559173584
140,0.5,0.0005,5,0.7549949288368225,1.4893227815628052,1.9084230661392212,1.4398186206817627,1.8549144268035889,3.732790231704712,3.9894864559173584
150,0.5,0.0005,5,0.3827775716781616,1.350258708000183,1.7899060249328613,1.3054779767990112,1.738277792930603,3.732790231704712,3.9894864559173584
160,0.5,0.0005,5,0.1499055027961731,1.252393364906311,1.7209017276763916,1.213618278503418,1.6727207899093628,3.732790231704712,3.9894864559173584
170,0.5,0.0005,5,0.29854029417037964,1.1549861431121826,1.650640606880188,1.115858554840088,1.600622296333313,3.732790231704712,3.9894864559173584
180,0.5,0.0005,5,0.3188653588294983,1.0616538524627686,1.5849230289459229,1.0306651592254639,1.5445789098739624,3.732790231704712,3.9894864559173584
190,0.5,0.0005,5,-0.21879184246063232,0.9752697348594666,1.5332914590835571,0.9438439011573792,1.4901708364486694,3.732790231704712,3.9894864559173584
200,0.5,0.0005,5,0.36010992527008057,0.879938006401062,1.458518385887146,0.8495245575904846,1.4168063402175903,3.732790231704712,3.9894864559173584
210,0.5,0.0005,5,-0.03764927387237549,0.792197585105896,1.3995187282562256,0.767778217792511,1.36537766456604,3.732790231704712,3.9894864559173584
220,0.5,0.0005,5,-0.006300866603851318,0.7184597253799438,1.3597830533981323,0.6891356110572815,1.3238624334335327,3.732790231704712,3.9894864559173584
230,0.5,0.0005,5,0.0036146044731140137,0.6480446457862854,1.335208535194397,0.6227145791053772,1.2951399087905884,3.732790231704712,3.9894864559173584
240,0.5,0.0005,5,0.4531264901161194,0.591284453868866,1.3202929496765137,0.572569727897644,1.2877144813537598,3.732790231704712,3.9894864559173584
250,0.5,0.0005,5,-0.13097399473190308,0.5474587678909302,1.3252900838851929,0.5261857509613037,1.2882040739059448,3.732790231704712,3.9894864559173584
260,0.5,0.0005,5,-0.35162174701690674,0.5210477709770203,1.3692291975021362,0.49749359488487244,1.328761100769043,3.732790231704712,3.9894864559173584
270,0.5,0.0005,5,-0.4451588988304138,0.4981306195259094,1.4204262495040894,0.4798746407032013,1.3897308111190796,3.732790231704712,3.9894864559173584
280,0.5,0.0005,5,-0.3144429326057434,0.4686405062675476,1.4555084705352783,0.4479179382324219,1.4169352054595947,3.732790231704712,3.9894864559173584
290,0.5,0.0005,5,-0.1811184287071228,0.44787871837615967,1.5146567821502686,0.4273051917552948,1.4752553701400757,3.732790231704712,3.9894864559173584
299,0.5,0.0005,5,-0.3460153639316559,0.4320165514945984,1.5835050344467163,0.4081845283508301,1.5404785871505737,3.732790231704712,3.9894864559173584
