outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
0,chocolate,0.5,0.0005,5,3.57826828956604,4.065996170043945,0.0007572765462100506,3.59881591796875,3.7211227416992188,0.0010228066239506006,3.717437267303467,3.582737922668457
0,french,0.5,0.0005,5,4.227256774902344,3.816237211227417,0.0008938300306908786,3.830374002456665,4.002845764160156,0.0010329998331144452,4.18150520324707,3.9597713947296143
0,german,0.5,0.0005,5,4.470579624176025,4.232651233673096,0.0008221108582802117,4.138138294219971,4.3106255531311035,0.001084516872651875,4.297738075256348,4.288200855255127
0,korean,0.5,0.0005,5,3.6639537811279297,3.544858932495117,0.0008746258681640029,3.0631213188171387,3.4364230632781982,0.0007585843559354544,3.4757795333862305,3.4782605171203613
0,mandarin,0.5,0.0005,5,3.955432891845703,3.6885509490966797,0.0007878459873609245,3.9856045246124268,3.810126304626465,0.0009529207018204033,3.5947265625,3.9090890884399414
0,spanish,0.5,0.0005,5,3.9990179538726807,3.712224245071411,0.000790268590208143,4.1252923011779785,3.905444383621216,0.0009796610102057457,3.742701530456543,4.105877876281738
10,chocolate,0.5,0.0005,5,3.727787971496582,3.8463451862335205,0.00229875766672194,3.657205820083618,3.4512155055999756,0.002627114998176694,3.717437267303467,3.582737922668457
10,french,0.5,0.0005,5,3.9604625701904297,3.4913740158081055,0.001954121747985482,3.8245763778686523,3.7510476112365723,0.003918176982551813,4.18150520324707,3.9597713947296143
10,german,0.5,0.0005,5,4.20428991317749,4.108053207397461,0.002033743541687727,4.224853992462158,3.982792615890503,0.0027919558342546225,4.297738075256348,4.288200855255127
10,korean,0.5,0.0005,5,3.2206175327301025,3.412228584289551,0.0017261105822399259,3.3949992656707764,3.3791863918304443,0.0023663081228733063,3.4757795333862305,3.4782605171203613
10,mandarin,0.5,0.0005,5,3.498788833618164,3.566742420196533,0.0017118590185418725,3.4152700901031494,3.6374094486236572,0.002553601050749421,3.5947265625,3.9090890884399414
10,spanish,0.5,0.0005,5,3.8317108154296875,3.9795851707458496,0.0020245013292878866,3.8375966548919678,3.7500786781311035,0.003671743208542466,3.742701530456543,4.105877876281738
20,chocolate,0.5,0.0005,5,3.6510586738586426,3.5951201915740967,0.009060120210051537,3.670536756515503,3.2896487712860107,0.008866711519658566,3.717437267303467,3.582737922668457
20,french,0.5,0.0005,5,3.646498918533325,3.3050572872161865,0.007940939627587795,3.5310723781585693,3.447330951690674,0.010567931458353996,4.18150520324707,3.9597713947296143
20,german,0.5,0.0005,5,4.032306671142578,3.9016103744506836,0.0072877476923167706,4.063486099243164,3.70185923576355,0.011126088909804821,4.297738075256348,4.288200855255127
20,korean,0.5,0.0005,5,3.360910654067993,3.0464699268341064,0.006501729134470224,2.8709545135498047,3.1118152141571045,0.0072702402248978615,3.4757795333862305,3.4782605171203613
20,mandarin,0.5,0.0005,5,3.3945584297180176,3.498500347137451,0.005782457534223795,3.519052028656006,3.1850216388702393,0.008134600706398487,3.5947265625,3.9090890884399414
20,spanish,0.5,0.0005,5,3.444000482559204,3.737029552459717,0.008221901021897793,3.411072015762329,2.9967541694641113,0.00985852163285017,3.742701530456543,4.105877876281738
30,chocolate,0.5,0.0005,5,3.4613115787506104,3.156874179840088,0.01625201851129532,3.5467848777770996,3.261029005050659,0.019279416650533676,3.717437267303467,3.582737922668457
30,french,0.5,0.0005,5,3.280224561691284,3.378809690475464,0.024556873366236687,3.3272159099578857,3.4207141399383545,0.025874126702547073,4.18150520324707,3.9597713947296143
30,german,0.5,0.0005,5,3.459707736968994,3.6792690753936768,0.01992504857480526,3.7177088260650635,3.6029374599456787,0.027672545984387398,4.297738075256348,4.288200855255127
30,korean,0.5,0.0005,5,2.820173978805542,3.1781182289123535,0.01973402313888073,2.828216552734375,2.8846192359924316,0.02145605906844139,3.4757795333862305,3.4782605171203613
30,mandarin,0.5,0.0005,5,3.028764247894287,3.1451869010925293,0.014819899573922157,3.214719295501709,3.0810794830322266,0.02145952731370926,3.5947265625,3.9090890884399414
30,spanish,0.5,0.0005,5,3.535815715789795,3.3450746536254883,0.021867984905838966,3.4087655544281006,3.308467388153076,0.02600685879588127,3.742701530456543,4.105877876281738
40,chocolate,0.5,0.0005,5,3.2858645915985107,3.175508975982666,0.036634448915719986,3.1186258792877197,3.183966636657715,0.039551977068185806,3.717437267303467,3.582737922668457
40,french,0.5,0.0005,5,3.432187557220459,3.1212332248687744,0.04413951560854912,3.239511489868164,2.9579789638519287,0.05394252389669418,4.18150520324707,3.9597713947296143
40,german,0.5,0.0005,5,3.8139419555664062,3.3378446102142334,0.046562258154153824,3.4551479816436768,3.3451733589172363,0.051540669053792953,4.297738075256348,4.288200855255127
40,korean,0.5,0.0005,5,2.7423062324523926,2.864331007003784,0.03530534729361534,2.7513768672943115,2.699488401412964,0.040770962834358215,3.4757795333862305,3.4782605171203613
40,mandarin,0.5,0.0005,5,2.9545226097106934,2.962038516998291,0.04066536948084831,3.1728339195251465,3.0850257873535156,0.05492717772722244,3.5947265625,3.9090890884399414
